CRI	0.5197	0.3033	0.1770	SCO	3	1
ITU	0.5446	0.2953	0.1601	PON	1	2
CSA	0.5452	0.2951	0.1597	CHA	1	1
GRE	0.5433	0.2957	0.1609	NOV	2	0
CRU	0.6305	0.2612	0.1082	CRB	2	0
BAH	0.5695	0.2864	0.1440	SPT	1	0
SCO	0.5359	0.2982	0.1659	NAU	2	0
CHA	0.5168	0.3042	0.1791	CRI	2	3
BRU	0.5336	0.2989	0.1674	ITU	0	1
PON	0.5408	0.2966	0.1626	LEC	1	2
CRB	0.5162	0.3043	0.1794	VNO	1	0
OPE	0.4637	0.3181	0.2182	BAH	0	1
NOV	0.5633	0.2887	0.1480	GUA	1	2
VAS	0.4996	0.3091	0.1913	CRU	1	0
TOM	0.5326	0.2992	0.1681	CSA	2	1
SPT	0.5221	0.3026	0.1753	GRE	0	0
BAH	0.6392	0.2573	0.1035	CHA	0	1
CRU	0.6278	0.2625	0.1097	PON	2	0
VNO	0.4910	0.3115	0.1976	OPE	0	0
CRI	0.5729	0.2851	0.1419	BRU	0	1
CRB	0.5124	0.3055	0.1821	ITU	1	1
GRE	0.5677	0.2871	0.1452	SCO	2	0
NOV	0.5084	0.3067	0.1850	TOM	1	3
LEC	0.4534	0.3203	0.2263	VAS	0	1
NAU	0.4725	0.3161	0.2114	SPT	1	1
GUA	0.5173	0.3040	0.1787	CSA	0	0
CHA	0.5516	0.2929	0.1555	CRB	1	2
PON	0.5105	0.3060	0.1835	SCO	0	0
CSA	0.4712	0.3164	0.2124	GRE	1	1
LEC	0.5365	0.2980	0.1655	GUA	3	1
VAS	0.5986	0.2750	0.1263	OPE	3	0
CRI	0.5677	0.2871	0.1452	VNO	1	0
BAH	0.6342	0.2595	0.1062	NOV	0	1
SPT	0.5755	0.2842	0.1403	BRU	0	0
TOM	0.5867	0.2798	0.1335	NAU	1	1
ITU	0.4288	0.3249	0.2462	CRU	1	1
OPE	0.5435	0.2957	0.1609	CHA	2	1
SCO	0.5275	0.3009	0.1716	CSA	2	0
BRU	0.4439	0.3222	0.2339	BAH	0	2
GRE	0.5859	0.2802	0.1340	LEC	1	0
GUA	0.5026	0.3083	0.1891	ITU	0	2
CRU	0.5942	0.2768	0.1290	SPT	2	1
VNO	0.5242	0.3019	0.1739	PON	1	1
NAU	0.4896	0.3118	0.1986	CRI	1	1
CRB	0.4882	0.3122	0.1996	TOM	0	0
NOV	0.4235	0.3258	0.2506	VAS	2	0
CHA	0.5008	0.3088	0.1904	SCO	3	1
BRU	0.5013	0.3087	0.1901	OPE	2	0
CRU	0.6625	0.2461	0.0914	VNO	2	0
LEC	0.5414	0.2964	0.1622	CSA	0	0
ITU	0.5260	0.3013	0.1726	CRI	1	2
NAU	0.5014	0.3086	0.1900	NOV	3	1
CRB	0.5653	0.2880	0.1467	GUA	1	1
PON	0.4735	0.3158	0.2107	TOM	0	0
VAS	0.5876	0.2795	0.1329	SPT	0	0
BAH	0.5553	0.2916	0.1531	GRE	0	0
OPE	0.5371	0.2978	0.1651	CRB	2	3
NOV	0.5328	0.2992	0.1680	BRU	1	0
