BRU	[1000.0, 1005.0, 999.8201881162723, 992.2176955557055, 999.8894746715657, 992.2307827111218, 992.4288389885611, 987.1290043874693, 992.2059645257373, 985.1937783960789, 980.2382931456318, 988.014798352011, 983.0051143935559, 988.3100133505177, 988.6346621351153, 982.0872309253986, 989.9272508362756, 984.9310701229836, 985.0413262845108, 985.8642757808714, 985.6528483199229, 986.6489922793521, 986.8604456309505, 981.623027649949, 986.9331930532329, 981.9474396265172, 977.1316377367608, 972.5218907810258, 978.4301720036935, 972.8273074885817, 968.0038729389277, 961.4344020048809, 955.1512258047093, 951.009068911279, 947.1448292982237, 947.1458698364291, 947.8919682863342, 948.3903429373357, 942.2930217171557]
GUA	[1000.0, 995.0, 995.14387184166, 987.6407661184821, 992.8918750401541, 993.0017316595851, 993.1052464609222, 993.0960756728058, 993.4130711400912, 988.4079091036034, 988.4757311461265, 979.9422040998451, 985.1737958989362, 985.2841242067083, 977.8308160323093, 970.6568889786888, 970.9034700116488, 977.0739757886049, 970.8840219436671, 971.1640252039008, 971.3754526648493, 966.8362655511563, 962.9469394953026, 963.5235343553638, 968.5047571986048, 963.9266832434149, 969.5853507204247, 965.4773192301265, 975.1997282522149, 970.2712945208565, 975.0281677071447, 982.8149831001357, 987.6434119112888, 992.7689670538928, 988.2095780119572, 993.134699524869, 999.4519684137656, 999.9622640589375, 1004.8490280825104]
VAS	[1000.0, 1000.0, 999.8920830858765, 999.9655866236122, 1004.9301269245123, 1004.8561714185629, 1009.7539919546236, 1015.1527604492619, 1014.8357649819765, 1021.8479511116349, 1021.6619299424445, 1026.253851868093, 1031.492643745159, 1035.925022522857, 1043.7934277121933, 1035.1280270288732, 1034.7104674375971, 1039.3309892748207, 1030.9431497130158, 1030.3211716270926, 1024.4146127611805, 1049.2707211704292, 1048.3690538019257, 1039.7164944272592, 1046.6104078138733, 1037.08748051174, 1032.236011919896, 1036.3440434101944, 1030.4357621875267, 1025.7268160439044, 1032.406588528286, 1025.0834075906737, 1024.6651447478687, 1028.614627541458, 1036.0010427559605, 1035.8967827960148, 1040.837725968059, 1035.4681282551933, 1040.4065041298902]
VNO	[1000.0, 1000.0, 1000.1079169141235, 992.6055873403446, 992.7104850275472, 992.7779059321612, 1000.442779593631, 992.7702262144384, 992.8870882755054, 993.1209563850354, 993.0531343425123, 985.2766291361331, 980.1586352022906, 980.4596620930698, 975.7249787512478, 975.7851162726488, 969.8179621380242, 970.8058496139527, 965.9468889801476, 966.6227767451825, 972.5293356110946, 972.792312702826, 973.1887753471568, 973.7469419607644, 974.0420049198899, 978.8003575619254, 979.1548430616018, 984.286144769946, 980.1730015841704, 985.1014353155288, 989.9248698651828, 994.8084846224695, 994.166083960179, 999.6027920494633, 999.6445412460095, 1005.9591957429649, 1006.3827053724594, 1000.790444622401, 1001.4110449676899]
BAH	[1000.0, 1007.5, 1012.2842666694885, 1012.1075554915711, 1016.9718354431968, 1011.7631764895744, 1037.5222399603192, 1032.123471465681, 1036.5932881268861, 1030.890035955133, 1035.3923948936904, 1040.1133067992591, 1044.6183401643007, 1038.7897133799552, 1033.0017700082324, 1039.549201217949, 1039.3781724286973, 1038.3902849527688, 1044.5802387977067, 1043.8360745006746, 1038.9378926935033, 1045.9459775827, 1049.9297531916518, 1041.3834020267605, 1048.1853639078024, 1047.4115374456192, 1052.2630060374631, 1043.691243744668, 1048.1924268381347, 1047.6570764046307, 1042.1759043927636, 1040.8609760161628, 1032.171625213108, 1031.3308061194055, 1035.1950457324606, 1035.45834082184, 1035.0348311923456, 1034.5245355471736, 1038.7763168015804]
CRU	[1000.0, 992.5, 997.6798118837277, 997.7121661677032, 1002.7805467778251, 1010.5169776763678, 1015.5732567306213, 1020.2453038642861, 1027.311358774357, 1031.9307823690035, 1036.4959371834918, 1042.8594437049626, 1037.6206518278966, 1044.0174333153602, 1043.2772773288443, 1047.8080536917237, 1053.7752078263484, 1047.6047020493922, 1051.8560481628413, 1050.9121053882266, 1055.810287195398, 1054.8141432359687, 1061.540837481393, 1065.6416889131197, 1064.5262540487188, 1064.4747407940351, 1082.9746987933986, 1081.8453071607112, 1080.823480701836, 1084.1088608405582, 1089.5715039237427, 1096.894684861355, 1103.5993744182301, 1102.450504194777, 1093.1930948093714, 1086.878440312416, 1080.5611714235192, 1087.2852858847004, 1090.6668006432067]
CHA	[1000.0, 1000.0, 1005.0, 1004.9264964622643, 1013.7367780880293, 1006.0003471894865, 1005.8022909120473, 1000.8921130658129, 1000.7752510047458, 1000.629919337664, 991.293608946962, 991.3891698254145, 986.5034603745024, 992.3320871588479, 987.1883316745988, 982.2709824959655, 990.1156795119922, 985.3882993268304, 990.3610187604855, 990.0810155002519, 985.0528037408003, 985.9237115547769, 986.8253789232805, 986.8077141739967, 987.9231490383975, 992.9089024651132, 988.2807183826486, 983.1494166743045, 992.5954053852265, 987.6815026887335, 992.3897468809396, 985.2956592485488, 993.9850100516037, 988.676770428676, 988.074389398791, 983.4684964160253, 988.476020255973, 992.0924768610672, 987.2057128374944]
ITU	[1000.0, 1000.0, 1000.0, 1007.5023295737789, 1002.4643005543325, 1007.6729595079548, 1002.541400354143, 1002.639681204152, 997.6324569690194, 997.4960365393856, 992.4328256053623, 987.3418871554093, 992.3515711138643, 992.2054341561478, 992.9455901426636, 1000.119517196284, 995.1658209345715, 987.5630685266593, 987.4986627778311, 988.1206408637543, 993.1488526232058, 1000.3993141037107, 1000.0028514593799, 1008.9531061930137, 1002.1511443119718, 1007.0264146640229, 1012.7969420883892, 1011.9028207425524, 1002.6064443915897, 1011.4019419441156, 1011.3336467642274, 1017.9031176982742, 1022.3165051497475, 1023.4653753732007, 1028.0247644151361, 1019.1460667012798, 1024.1601196558538, 1031.185828606031, 1026.247452731334]
PON	[1000.0, 1000.0, 992.5, 997.501553049186, 992.5370127482859, 1000.1957047087297, 1000.0921899073926, 995.1435436918867, 990.6737270306817, 990.8190586977635, 986.1130779819013, 991.2040164318543, 986.1408765955242, 979.7440951080606, 979.9039632628144, 979.8438257414134, 980.2696340299111, 985.3475873210964, 985.6110281269529, 990.5089929471815, 986.2436120459978, 994.8589707754778, 994.5506773940627, 1003.2032367687291, 997.8930713654452, 1002.4711453206351, 1002.2717296605063, 1010.8434919533012, 1001.3975032423791, 1006.6560116186255, 1006.7243067985137, 1014.1520999934552, 1007.4474104365801, 1002.5038907814909, 1002.4621415849448, 1002.1927086982978, 993.7131572666592, 994.188621991887, 997.682046016648]
GRE	[1000.0, 1000.0, 995.0, 1002.5031057231779, 1007.4609446274245, 1014.427812074203, 1009.3715330199494, 1009.2732521699404, 1009.1497755987673, 1008.9159074892374, 1009.1019286584277, 1016.4793675831852, 1016.40423571687, 1023.5064339113372, 1023.064696083198, 1027.6602654441715, 1027.8312942334233, 1034.5217585947275, 1042.7506451483478, 1041.9276956519873, 1046.193076553171, 1045.3221687391945, 1049.2114947950483, 1070.589548874261, 1060.946619831532, 1060.9981330862156, 1055.2276056618493, 1046.5700024835064, 1050.683145669282, 1055.3920918129045, 1046.2732730118755, 1054.3528159311945, 1048.6568517882627, 1054.4067004966848, 1053.5076017120523, 1053.2443066226729, 1058.2589351493714, 1057.1374689207457, 1063.2347901409257]
